"Dataset S7 Hub (> 1,000 edges) genes of network of LC+ genes",,,,
Gene ID,Number of edges,Arabidopsis orthologue,Symbol,Human readable description
Solyc06g068480,1090,AT1G73060,LPA3,unknown protein | chr1:27479027-27481258 FORWARD
Solyc08g083010,1090,AT4G24090,NA,unknown protein | chr4:12512742-12514467 FORWARD
Solyc03g019940,1089,AT4G17300,ATNS1,"NS1, OVA8, ATNS1 | NS1; asparagine-tRNA ligase | chr4:9681558-9684833 FORWARD"
Solyc03g116590,1089,AT5G62200,NA,embryo-specific protein-related | chr5:24984463-24985674 REVERSE
Solyc08g007040,1089,AT2G35370,GDCH,GDCH | GDCH; glycine dehydrogenase (decarboxylating) | chr2:14891239-14892050 FORWARD
Solyc12g006810,1089,AT5G20140,NA,SOUL heme-binding family protein | chr5:6799047-6800892 REVERSE
Solyc02g063150,1089,AT5G38420,NA,ribulose bisphosphate carboxylase small chain 3B / RuBisCO small subunit 3B (RBCS-3B) (ATS3B) | chr5:15377501-15378306 REVERSE
Solyc11g042640,1089,AT1G71500,NA,Rieske (2Fe-2S) domain-containing protein | chr1:26936084-26937331 FORWARD
Solyc06g073260,1089,AT1G09340,CRB,"CRB, CSP41B | CRB (CHLOROPLAST RNA BINDING); binding / catalytic/ coenzyme binding | chr1:3015473-3018035 FORWARD"
Solyc06g053190,1088,AT3G49350,NA,RAB GTPase activator | chr3:18297663-18299846 REVERSE
Solyc05g044630,1088,AT4G25910,ATCNFU3,"NFU3, ATCNFU3 | NFU3; structural molecule | chr4:13164128-13165094 FORWARD"
Solyc10g084290,1088,AT2G37080,NA,myosin heavy chain-related | chr2:15581565-15584057 REVERSE
Solyc09g090960,1088,AT1G60000,NA,"29 kDa ribonucleoprotein, chloroplast, putative / RNA-binding protein cp29, putative | chr1:22093678-22094540 REVERSE"
Solyc06g048410,1088,AT5G51100,FSD2,FSD2 | FSD2 (FE SUPEROXIDE DISMUTASE 2); superoxide dismutase | chr5:20773357-20775635 REVERSE
Solyc08g065220,1088,AT4G33010,AtGLDP1,AtGLDP1 | AtGLDP1 (Arabidopsis thaliana glycine decarboxylase P-protein 1); catalytic/ glycine dehydrogenase (decarboxylating)/ pyridoxal phosphate binding | chr4:15926852-15931150 REVERSE
Solyc05g006440,1088,AT3G17930,NA,unknown protein | chr3:6142307-6143246 REVERSE
Solyc10g005050,1088,AT2G46820,PSAP,"PTAC8, TMP14, PSAP, PSI-P | PSI-P (PHOTOSYSTEM I P SUBUNIT); DNA binding | chr2:19243729-19244870 FORWARD"
Solyc03g113350,1088,AT1G74770,NA,protein binding / zinc ion binding | chr1:28089695-28094834 REVERSE
Solyc01g095430,1088,AT4G01150,NA,unknown protein | chr4:493692-494668 FORWARD
Solyc03g120910,1087,AT1G52150,ATHB-15,"ATHB-15, ATHB15, CNA, ICU4 | ATHB-15; DNA binding / transcription factor | chr1:19409913-19413961 REVERSE"
Solyc02g080630,1087,AT1G11840,ATGLX1,ATGLX1 | ATGLX1 (GLYOXALASE I HOMOLOG); lactoylglutathione lyase/ metal ion binding | chr1:3996045-3997518 FORWARD
Solyc01g096870,1087,AT5G52520,OVA6,"OVA6, PRORS1 | OVA6 (OVULE ABORTION 6); ATP binding / aminoacyl-tRNA ligase/ nucleotide binding / proline-tRNA ligase | chr5:21311112-21313875 FORWARD"
Solyc04g080390,1087,AT5G42765,NA,"INVOLVED IN: biological_process unknown; LOCATED IN: thylakoid, chloroplast thylakoid membrane, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Twin-arginine translocation pathway signal (InterPro:IPR006311); Has 13 Blast hits to 13 proteins in 4 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 13; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr5:17150505-17151641 REVERSE"
Solyc09g009830,1087,AT3G52720,ACA1,"ATACA1, ACA1 | ACA1 (ALPHA CARBONIC ANHYDRASE 1); carbonate dehydratase/ zinc ion binding | chr3:19538804-19541116 REVERSE"
Solyc08g076350,1086,AT1G32190,NA,INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: plasma membrane; EXPRESSED IN: 14 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Alpha/beta hydrolase fold-1 (InterPro:IPR000073); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G24320.1); Has 8192 Blast hits to 4778 proteins in 522 species: Archae - 0; Bacteria - 690; Metazoa - 5331; Fungi - 155; Plants - 259; Viruses - 14; Other Eukaryotes - 1743 (source: NCBI BLink). | chr1:11593059-11595731 REVERSE
Solyc05g050970,1086,AT2G45290,NA,"transketolase, putative | chr2:18672737-18675589 FORWARD"
Solyc11g066870,1086,AT5G22640,emb1211,emb1211 | emb1211 (embryo defective 1211) | chr5:7529423-7533641 FORWARD
Solyc08g081910,1086,AT1G64200,VHA-E3,"VHA-E3 | VHA-E3 (VACUOLAR H+-ATPASE SUBUNIT E ISOFORM 3); proton-transporting ATPase, rotational mechanism | chr1:23828537-23830002 REVERSE"
Solyc04g080600,1086,AT1G75310,NA,AUL1 | AUL1; heat shock protein binding | chr1:28261004-28266124 FORWARD
Solyc01g098990,1086,AT5G27560,NA,unknown protein | chr5:9731758-9733644 FORWARD
Solyc05g006020,1086,AT1G60030,ATNAT7,"ATNAT7, NAT7 | xanthine/uracil permease family protein | chr1:22113993-22116648 REVERSE"
Solyc06g007350,1086,AT2G30170,NA,catalytic | chr2:12879802-12881474 REVERSE
Solyc09g083150,1086,AT5G58260,NA,Encodes subunit NDH-N of NAD(P)H:plastoquinone dehydrogenase complex (Ndh complex) present in the thylakoid membrane of chloroplasts. This subunit is thought to be required for Ndh complex assembly. | chr5:23561075-23561929 REVERSE
Solyc04g077780,1086,AT1G10200,WLIM1,WLIM1 | WLIM1; transcription factor/ zinc ion binding | chr1:3346677-3347763 REVERSE
Solyc04g054740,1086,AT5G10170,ATMIPS3,"ATMIPS3, MIPS3 | MIPS3 (MYO-INOSITOL-1-PHOSTPATE SYNTHASE 3); binding / catalytic/ inositol-3-phosphate synthase | chr5:3187538-3190161 REVERSE"
Solyc07g017780,1086,AT2G18960,AHA1,"AHA1, PMA, OST2 | AHA1 (ARABIDOPSIS H+ ATPASE 1); ATPase/ hydrogen-exporting ATPase, phosphorylative mechanism / protein binding | chr2:8221858-8227268 FORWARD"
Solyc01g091000,1086,AT3G60670,NA,"zinc-binding protein, putative | chr3:22424695-22426074 REVERSE"
Solyc08g061980,1085,AT5G12080,NA,MSL10 | MSL10 (MECHANOSENSITIVE CHANNEL OF SMALL CONDUCTANCE-LIKE 10); mechanically-gated ion channel | chr5:3898182-3900923 REVERSE
Solyc02g084370,1085,AT4G36180,NA,leucine-rich repeat family protein | chr4:17120209-17123698 REVERSE
Solyc02g065400,1085,AT3G50820,OEC33,"PSBO2, PSBO-2, OEC33 | PSBO2 (PHOTOSYSTEM II SUBUNIT O-2); oxygen evolving/ poly(U) binding | chr3:18891008-18892311 REVERSE"
Solyc06g069170,1085,AT1G73885,NA,unknown protein | chr1:27786864-27787708 FORWARD
Solyc06g083680,1085,AT2G20260,NA,PSAE-2 | PSAE-2 (photosystem I subunit E-2); catalytic | chr2:8736780-8737644 FORWARD
Solyc02g055440,1085,AT3G19800,NA,unknown protein | chr3:6876153-6877471 FORWARD
Solyc01g010640,1085,AT1G14345,NA,oxidoreductase | chr1:4899176-4899766 FORWARD
Solyc01g088050,1085,AT3G51990,NA,protein kinase family protein | chr3:19287989-19289077 FORWARD
Solyc06g065990,1085,AT4G32260,NA,ATP synthase family | chr4:15573859-15574586 REVERSE
Solyc10g018300,1085,AT3G60750,NA,"transketolase, putative | chr3:22454004-22456824 FORWARD"
Solyc04g050470,1085,AT5G37360,NA,unknown protein | chr5:14805437-14808113 REVERSE
Solyc09g082510,1084,AT3G22790,NA,kinase interacting family protein | chr3:8052446-8057888 REVERSE
Solyc06g073550,1084,AT5G21160,NA,La domain-containing protein / proline-rich family protein | chr5:7199191-7203879 REVERSE
Solyc01g006130,1084,AT2G34860,NA,EDA3 | EDA3 (embryo sac development arrest 3); heat shock protein binding / unfolded protein binding | chr2:14708380-14709804 FORWARD
Solyc01g005450,1084,AT2G01620,NA,MEE11 | MEE11 (maternal effect embryo arrest 11) | chr2:278204-279226 FORWARD
Solyc11g068820,1084,AT5G40950,NA,RPL27 | RPL27 (RIBOSOMAL PROTEIN LARGE SUBUNIT 27); structural constituent of ribosome | chr5:16410866-16411845 FORWARD
Solyc03g032070,1083,AT5G67630,NA,"DNA helicase, putative | chr5:26967535-26969306 REVERSE"
Solyc08g042100,1083,AT4G31890,NA,armadillo/beta-catenin repeat family protein | chr4:15427290-15429049 REVERSE
Solyc08g015620,1083,AT2G43945,NA,unknown protein | chr2:18197995-18199988 REVERSE
Solyc12g009890,1083,AT3G42050,NA,vacuolar ATP synthase subunit H family protein | chr3:14228846-14232228 REVERSE
Solyc08g006160,1083,AT5G19940,NA,plastid-lipid associated protein PAP-related / fibrillin-related | chr5:6739693-6740661 FORWARD
Solyc01g107660,1083,AT4G34190,1-Sep,SEP1 | SEP1 (STRESS ENHANCED PROTEIN 1); chlorophyll binding | chr4:16372606-16373511 REVERSE
Solyc05g014310,1083,AT1G67700,NA,unknown protein | chr1:25374295-25375810 FORWARD
Solyc12g009200,1083,AT1G19150,LHCA2*1,"LHCA6, LHCA2*1 | LHCA6; chlorophyll binding | chr1:6612806-6613799 FORWARD"
Solyc08g061560,1082,AT2G26330,ER,"ER, QRP1 | ER (ERECTA); transmembrane receptor protein kinase | chr2:11208367-11213895 REVERSE"
Solyc02g080570,1082,AT1G11720,NA,"ATSS3 | ATSS3 (starch synthase 3); starch synthase/ transferase, transferring glycosyl groups | chr1:3952511-3956840 FORWARD"
Solyc02g005210,1082,AT3G26710,NA,CCB1 | CCB1 (COFACTOR ASSEMBLY OF COMPLEX C) | chr3:9813550-9814606 FORWARD
Solyc08g081140,1082,AT5G41315,NA,"GL3, MYC6.2 | GL3 (GLABROUS 3); protein binding / transcription factor | chr5:16529457-16532866 FORWARD"
Solyc02g083610,1082,AT3G51290,NA,proline-rich family protein | chr3:19039980-19042437 FORWARD
Solyc10g081470,1082,AT5G35220,EGY1,EGY1 | EGY1 (ETHYLENE-DEPENDENT GRAVITROPISM-DEFICIENT AND YELLOW-GREEN 1); metalloendopeptidase | chr5:13484606-13487546 REVERSE
Solyc06g074510,1082,AT5G22620,NA,phosphoglycerate/bisphosphoglycerate mutase family protein | chr5:7517731-7520223 REVERSE
Solyc03g025850,1082,AT3G48940,NA,remorin family protein | chr3:18142863-18144163 REVERSE
Solyc07g055180,1082,AT3G58690,NA,protein kinase family protein | chr3:21709369-21711246 FORWARD
Solyc07g066350,1082,AT1G56020,NA,unknown protein | chr1:20952216-20953412 FORWARD
Solyc12g005630,1082,AT4G03280,PETC,"PETC, PGR1 | PETC (PHOTOSYNTHETIC ELECTRON TRANSFER C); electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II | chr4:1440314-1441717 FORWARD"
Solyc07g054290,1082,AT1G03600,NA,photosystem II family protein | chr1:898916-899440 FORWARD
Solyc01g081490,1081,AT1G08540,NA,"SIGB, SIG1, SIG2, SIGA, ATSIG1, ABC1, ATSIG2 | SIG2 (RNA POLYMERASE SIGMA SUBUNIT 2); DNA binding / DNA-directed RNA polymerase/ sigma factor/ transcription factor | chr1:2703461-2706696 FORWARD"
Solyc02g077990,1081,AT2G33800,NA,ribosomal protein S5 family protein | chr2:14300925-14302352 REVERSE
Solyc08g076060,1081,AT3G16030,NA,CES101 | CES101 (CALLUS EXPRESSION OF RBCS 101); ATP binding / carbohydrate binding / kinase/ protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase/ sugar binding | chr3:5439609-5442802 FORWARD
Solyc07g066610,1081,AT1G56190,NA,"phosphoglycerate kinase, putative | chr1:21028403-21030454 FORWARD"
Solyc01g005550,1080,AT5G56530,NA,unknown protein | chr1:20666526-20668502 REVERSE
Solyc10g080430,1080,AT3G57880,NA,C2 domain-containing protein | chr3:21431198-21433519 REVERSE
Solyc04g025290,1080,AT5G36170,ATPRFB,"HCF109, ATPRFB | HCF109 (HIGH CHLOROPHYLL FLUORESCENT 109); translation release factor/ translation release factor, codon specific | chr5:14236083-14237974 REVERSE"
Solyc03g115980,1080,AT1G74470,NA,geranylgeranyl reductase | chr1:27991248-27992845 FORWARD
Solyc06g054260,1080,AT1G03130,PSAD-2,PSAD-2 | PSAD-2 (photosystem I subunit D-2) | chr1:753528-754142 REVERSE
Solyc01g111740,1079,AT1G21740,NA,unknown protein | chr1:7641580-7645078 FORWARD
Solyc08g079180,1079,AT1G62750,ATSCO1,"ATSCO1, ATSCO1/CPEF-G, SCO1 | SCO1 (SNOWY COTYLEDON 1); ATP binding / translation elongation factor/ translation factor, nucleic acid binding | chr1:23233622-23236321 REVERSE"
Solyc08g083360,1079,AT3G16250,NA,NDF4 | NDF4 (NDH-DEPENDENT CYCLIC ELECTRON FLOW 1); electron carrier/ iron-sulfur cluster binding | chr3:5507091-5508320 REVERSE
Solyc06g074890,1079,AT2G30695,NA,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: protein folding, protein transport; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Trigger factor, ribosome-binding, bacterial (InterPro:IPR008881); Has 207 Blast hits to 207 proteins in 55 species: Archae - 0; Bacteria - 110; Metazoa - 0; Fungi - 0; Plants - 22; Viruses - 0; Other Eukaryotes - 75 (source: NCBI BLink). | chr2:13079269-13081095 REVERSE"
Solyc10g044710,1079,AT3G05625,NA,binding | chr3:1632408-1633912 FORWARD
Solyc06g082750,1079,AT3G54210,NA,ribosomal protein L17 family protein | chr3:20067672-20068385 REVERSE
Solyc03g007330,1078,AT5G53170,FTSH11,FTSH11 | FTSH11 (FtsH protease 11); ATP-dependent peptidase/ ATPase/ metallopeptidase | chr5:21563023-21567922 REVERSE
Solyc01g090240,1078,AT2G44830,NA,"protein kinase, putative | chr2:18490398-18492779 FORWARD"
Solyc10g005110,1078,AT1G03475,ATCPO-I,"LIN2, HEMF1, ATCPO-I | LIN2 (LESION INITIATION 2); coproporphyrinogen oxidase | chr1:869302-871175 REVERSE"
Solyc10g080090,1078,AT3G42170,NA,DNA binding | chr3:14321838-14323928 FORWARD
Solyc02g086830,1078,AT3G27925,DEGP1,"DEGP1, Deg1 | DEGP1 (DegP protease 1); serine-type endopeptidase/ serine-type peptidase | chr3:10366659-10368864 REVERSE"
Solyc08g081710,1078,AT1G64080,NA,unknown protein | chr1:23785230-23786557 REVERSE
Solyc05g010180,1078,AT1G57770,NA,amine oxidase family | chr1:21395254-21398135 FORWARD
Solyc03g078080,1078,AT3G18680,NA,aspartate/glutamate/uridylate kinase family protein | chr3:6427533-6429520 FORWARD
Solyc09g009940,1078,AT5G03940,54CP,"FFC, 54CP, CPSRP54, SRP54CP | CPSRP54 (CHLOROPLAST SIGNAL RECOGNITION PARTICLE 54 KDA SUBUNIT); 7S RNA binding / GTP binding / mRNA binding / signal sequence binding | chr5:1060265-1063257 REVERSE"
Solyc03g114340,1078,AT5G62790,DXR,"DXR, PDE129 | DXR (1-DEOXY-D-XYLULOSE 5-PHOSPHATE REDUCTOISOMERASE); 1-deoxy-D-xylulose-5-phosphate reductoisomerase | chr5:25214358-25217292 REVERSE"
Solyc06g083070,1078,AT5G48460,NA,"fimbrin-like protein, putative | chr5:19636225-19639365 REVERSE"
Solyc12g098890,1078,AT1G48350,NA,ribosomal protein L18 family protein | chr1:17867269-17868215 FORWARD
Solyc08g065420,1078,AT4G32980,NA,ATH1 | ATH1 (ARABIDOPSIS THALIANA HOMEOBOX GENE 1); DNA binding / sequence-specific DNA binding / transcription factor | chr4:15914865-15916873 REVERSE
Solyc09g075360,1077,AT4G02290,AtGH9B13,"AtGH9B13 | AtGH9B13 (Arabidopsis thaliana glycosyl hydrolase 9B13); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds | chr4:1002654-1005125 REVERSE"
Solyc03g110940,1077,AT5G50330,NA,ATP binding / protein kinase | chr5:20485406-20488563 REVERSE
Solyc06g060360,1077,AT1G44760,NA,universal stress protein (USP) family protein | chr1:16896894-16898427 REVERSE
Solyc06g072700,1077,AT5G50740,NA,metal ion binding | chr5:20635983-20637847 REVERSE
Solyc05g013510,1077,AT3G26570,ORF02,"PHT2;1, ORF02 | PHT2;1 (PHOSPHATE TRANSPORTER 2;1); low affinity phosphate transmembrane transporter | chr3:9756416-9758413 FORWARD"
Solyc08g079550,1077,AT1G12380,NA,unknown protein | chr1:4214499-4216880 REVERSE
Solyc01g111750,1077,AT2G20920,NA,unknown protein | chr2:8998728-8999789 FORWARD
Solyc10g085070,1076,AT3G09070,NA,glycine-rich protein | chr3:2768880-2770937 REVERSE
Solyc01g100520,1076,AT1G02560,CLPP5,"CLPP5, NCLPP5, NCLPP1 | CLPP5 (NUCLEAR ENCODED CLP PROTEASE 5); serine-type endopeptidase | chr1:538000-539805 FORWARD"
Solyc04g049390,1076,AT2G39190,NA,ATATH8 | ATATH8; transporter | chr2:16350140-16355745 FORWARD
Solyc01g091370,1076,AT4G12080,AHL1,DNA-binding family protein | chr4:7239466-7241246 FORWARD
Solyc05g056050,1076,AT3G54890,LHCA1,LHCA1 | LHCA1; chlorophyll binding | chr3:20339706-20340922 REVERSE
Solyc09g090410,1076,AT2G33450,NA,"50S ribosomal protein L28, chloroplast (CL28) | chr2:14173620-14174380 FORWARD"
Solyc07g039190,1076,AT5G56850,NA,unknown protein | chr5:22985432-22987977 REVERSE
Solyc09g072990,1076,AT4G02920,NA,unknown protein | chr4:1292816-1294670 FORWARD
Solyc06g073290,1076,AT3G59400,NA,GUN4 | GUN4; enzyme binding / tetrapyrrole binding | chr3:21948881-21949678 REVERSE
Solyc09g074640,1075,AT2G47850,NA,zinc finger (CCCH-type) family protein | chr2:19595953-19598119 FORWARD
Solyc09g010690,1075,AT2G28840,XBAT31,ankyrin repeat family protein | chr2:12378542-12380474 FORWARD
Solyc10g011770,1075,AT4G01150,NA,unknown protein | chr4:493692-494668 FORWARD
Solyc07g054210,1075,AT5G54190,PORA,PORA | PORA; oxidoreductase/ protochlorophyllide reductase | chr5:21991183-21992773 REVERSE
Solyc02g092980,1075,AT5G67260,CYCD3;2,CYCD3;2 | CYCD3;2 (CYCLIN D3;2); cyclin-dependent protein kinase | chr5:26836313-26837665 FORWARD
Solyc07g055320,1075,AT2G30950,FTSH2,"VAR2, FTSH2 | VAR2 (VARIEGATED 2); ATP-dependent peptidase/ ATPase/ metallopeptidase/ zinc ion binding | chr2:13174692-13177064 FORWARD"
Solyc02g062340,1075,AT4G38970,FBA2,"fructose-bisphosphate aldolase, putative | chr4:18163714-18165659 REVERSE"
Solyc03g046470,1074,AT3G30300,NA,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF246, plant (InterPro:IPR004348); BEST Arabidopsis thaliana protein match is: EDA30 (embryo sac development arrest 30) (TAIR:AT3G03810.1); Has 512 Blast hits to 417 proteins in 20 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 512; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr3:11921390-11924254 REVERSE"
Solyc06g082930,1074,AT5G48385,NA,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Frigida-like (InterPro:IPR012474); BEST Arabidopsis thaliana protein match is: hydroxyproline-rich glycoprotein family protein (TAIR:AT3G22440.1); Has 987 Blast hits to 921 proteins in 78 species: Archae - 0; Bacteria - 16; Metazoa - 58; Fungi - 7; Plants - 873; Viruses - 0; Other Eukaryotes - 33 (source: NCBI BLink). | chr5:19609471-19611712 FORWARD
Solyc01g087730,1074,AT3G63490,NA,ribosomal protein L1 family protein | chr3:23444269-23446020 FORWARD
Solyc03g113920,1074,AT5G62570,NA,calmodulin-binding protein | chr5:25114988-25116967 FORWARD
Solyc02g086840,1074,AT3G27960,NA,kinesin light chain-related | chr3:10380513-10382593 REVERSE
Solyc02g068090,1074,AT3G27160,NA,GHS1 | GHS1 (GLUCOSE HYPERSENSITIVE 1); structural constituent of ribosome | chr3:10017531-10018854 FORWARD
Solyc10g086580,1074,AT2G39730,RCA,"RCA | RCA (RUBISCO ACTIVASE); ADP binding / ATP binding / enzyme regulator/ ribulose-1,5-bisphosphate carboxylase/oxygenase activator | chr2:16571046-16573345 REVERSE"
Solyc02g092050,1073,AT4G37750,NA,"ANT, DRG, CKC, CKC1 | ANT (AINTEGUMENTA); DNA binding / transcription factor | chr4:17739782-17742189 FORWARD"
Solyc08g082040,1073,AT3G61670,NA,unknown protein | chr3:22819052-22821870 FORWARD
Solyc01g067750,1073,AT3G06350,EMB3004,"EMB3004, MEE32 | MEE32 (MATERNAL EFFECT EMBRYO ARREST 32); 3-dehydroquinate dehydratase/ NADP or NADPH binding / binding / catalytic/ shikimate 5-dehydrogenase | chr3:1924536-1927701 REVERSE"
Solyc05g054740,1073,AT3G12520,SULTR4;2,SULTR4;2 | SULTR4;2; sulfate transmembrane transporter | chr3:3967976-3971891 REVERSE
Solyc04g056580,1073,AT1G65230,NA,unknown protein | chr1:24229167-24230764 FORWARD
Solyc11g010730,1073,AT5G65530,NA,"protein kinase, putative | chr5:26190844-26192826 REVERSE"
Solyc12g019480,1073,AT3G25500,NA,"AFH1, FH1, AHF1, ATFH1 | AFH1 (FORMIN HOMOLOGY 1); actin binding / actin filament binding / protein binding | chr3:9251320-9254826 REVERSE"
Solyc03g082890,1073,AT5G53490,NA,"thylakoid lumenal 17.4 kDa protein, chloroplast | chr5:21723488-21724621 REVERSE"
Solyc02g071190,1072,AT5G46390,NA,peptidase S41 family protein | chr5:18816612-18819148 FORWARD
Solyc03g114120,1072,AT1G24450,NA,NFD2 | NFD2 (NUCLEAR FUSION DEFECTIVE 2); RNA binding / ribonuclease III | chr1:8664201-8665077 FORWARD
Solyc01g091580,1072,AT2G45770,CPFTSY,"CPFTSY, FRD4 | CPFTSY; 7S RNA binding / GTP binding / nucleoside-triphosphatase/ nucleotide binding | chr2:18851248-18853402 FORWARD"
Solyc08g061810,1072,AT2G26340,NA,unknown protein | chr2:11215254-11216480 FORWARD
Solyc04g054520,1072,AT4G39710,FKBP16-2,"immunophilin, putative / FKBP-type peptidyl-prolyl cis-trans isomerase, putative | chr4:18427249-18428325 REVERSE"
Solyc07g061990,1072,AT1G78510,SPS1,SPS1 | SPS1 (solanesyl diphosphate synthase 1); trans-octaprenyltranstransferase | chr1:29535410-29537163 REVERSE
Solyc01g006720,1072,AT5G06530,NA,ABC transporter family protein | chr5:1990060-1994605 REVERSE
Solyc04g072570,1071,AT1G34210,ATSERK2,"SERK1, ATSERK1 | SERK1 (SOMATIC EMBRYOGENESIS RECEPTOR-LIKE KINASE 1); kinase/ transmembrane receptor protein serine/threonine kinase | chr1:27018575-27021842 FORWARD"
Solyc01g105020,1071,AT4G33500,NA,protein phosphatase 2C-related / PP2C-related | chr4:16112835-16116243 REVERSE
Solyc02g070490,1071,AT5G38520,NA,"hydrolase, alpha/beta fold family protein | chr5:15421605-15423234 FORWARD"
Solyc01g097460,1071,AT3G04790,NA,ribose 5-phosphate isomerase-related | chr3:1313365-1314195 FORWARD
Solyc08g079100,1070,AT4G00180,YAB3,"AFO, FIL, YAB1 | AFO (ABNORMAL FLORAL ORGANS); protein binding / transcription factor/ transcription regulator | chr2:18628450-18630552 REVERSE"
Solyc06g082100,1070,AT1G20960,NA,emb1507 | emb1507 (embryo defective 1507); ATP binding / ATP-dependent helicase/ helicase/ nucleic acid binding / nucleoside-triphosphatase/ nucleotide binding | chr1:7302591-7309914 REVERSE
Solyc09g074510,1070,AT2G47900,AtTLP3,AtTLP3 | AtTLP3 (TUBBY LIKE PROTEIN 3); phosphoric diester hydrolase/ transcription factor | chr2:19611196-19612766 REVERSE
Solyc08g007010,1070,AT1G32500,ATNAP6,ATNAP6 | ATNAP6 (NON-INTRINSIC ABC PROTEIN 6); protein binding / transporter | chr1:11750091-11751994 REVERSE
Solyc10g005610,1070,AT1G56020,NA,unknown protein | chr1:20952216-20953412 FORWARD
Solyc08g075840,1070,AT5G45400,NA,"replication protein, putative | chr5:18398990-18401644 FORWARD"
Solyc02g086710,1070,AT3G27820,ATMDAR4,"ATMDAR4, MDAR4 | MDAR4 (MONODEHYDROASCORBATE REDUCTASE 4); monodehydroascorbate reductase (NADH) | chr3:10315249-10317881 FORWARD"
Solyc03g006900,1070,AT5G51800,NA,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: shoot apex, embryo; EXPRESSED DURING: D bilateral stage, E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: Protein kinase-like (InterPro:IPR011009); BEST Arabidopsis thaliana protein match is: gt-2-related (TAIR:AT2G33550.1); Has 429 Blast hits to 424 proteins in 112 species: Archae - 2; Bacteria - 19; Metazoa - 126; Fungi - 57; Plants - 154; Viruses - 14; Other Eukaryotes - 57 (source: NCBI BLink). | chr5:21048317-21051906 FORWARD"
Solyc01g080510,1070,AT4G15545,NA,unknown protein | chr4:8875932-8877567 FORWARD
Solyc03g116870,1070,AT1G15980,NDF1,NDF1 | NDF1 (NDH-DEPENDENT CYCLIC ELECTRON FLOW 1) | chr1:5489314-5491199 FORWARD
Solyc04g009540,1070,AT5G13510,NA,ribosomal protein L10 family protein | chr5:4341294-4341956 FORWARD
Solyc02g084440,1070,AT4G38970,FBA2,"fructose-bisphosphate aldolase, putative | chr4:18163714-18165659 REVERSE"
Solyc01g008920,1070,AT4G31530,NA,binding / catalytic | chr4:15282281-15284064 FORWARD
Solyc10g005590,1069,AT1G16610,NA,SR45 | SR45; RNA binding / protein binding | chr1:5675925-5678686 REVERSE
Solyc05g009780,1069,AT1G13270,MAP1B,"MAP1C, MAP1B | MAP1C (METHIONINE AMINOPEPTIDASE 1B); aminopeptidase/ metalloexopeptidase | chr1:4544999-4547155 FORWARD"
Solyc08g080960,1069,AT1G63470,NA,DNA-binding family protein | chr1:23536831-23538863 REVERSE
Solyc09g075390,1069,AT4G02260,AT-RSH1,"RSH1, AT-RSH1 | RSH1 (RELA-SPOT HOMOLOG 1); catalytic | chr4:985451-991178 FORWARD"
Solyc04g045580,1069,AT1G27385,NA,unknown protein | chr1:9511129-9512820 REVERSE
Solyc11g066410,1069,AT3G44890,RPL9,RPL9 | RPL9 (RIBOSOMAL PROTEIN L9); structural constituent of ribosome | chr3:16386505-16387963 FORWARD
Solyc07g006000,1069,AT2G24090,NA,ribosomal protein L35 family protein | chr2:10242038-10243416 FORWARD
Solyc08g006930,1069,AT1G30380,PSAK,PSAK | PSAK (photosystem I subunit K) | chr1:10722325-10723013 FORWARD
Solyc05g013380,1069,AT1G70580,AOAT2,"AOAT2, GGT2 | AOAT2 (ALANINE-2-OXOGLUTARATE AMINOTRANSFERASE 2); L-alanine:2-oxoglutarate aminotransferase/ glycine:2-oxoglutarate aminotransferase | chr1:26613222-26615845 FORWARD"
Solyc07g063520,1068,AT4G21570,NA,unknown protein | chr4:11471126-11472269 REVERSE
Solyc04g055170,1068,AT5G65020,ANNAT2,ANNAT2 | ANNAT2 (Annexin Arabidopsis 2); calcium ion binding / calcium-dependent phospholipid binding | chr5:25973915-25975554 FORWARD
